;;;;;Recepcion;;;;Balanza;;;;Darsena 1;;;;;Darsena 2;;;;Camion 1;17155,4432;;;Camion 2;;;;Camion 3;16297,3514;;;Camion 4;;;;Camion 5;16266,5755;;;Camion 6;15191,2049;;;Camion 7;19142,2075;;;Camion 8;;;;Camion 9;16173,6491;;;Camion 10;21034,8441;;
Evento;Camion;Dia;Reloj;Tiempo prox llegada;Estado;Camion;Prox fin atencion;Cola;Estado;Camion;Prox fin atencion;Cola;Estado;Camion;Prox fin atencion;Atendidos;Estado;Camion;Prox fin atencion;Atendidos;Cola;Estado;Llegada;Inicio atencion;Fin atencion;Estado;Llegada;Inicio atencion;Fin atencion;Estado;Llegada;Inicio atencion;Fin atencion;Estado;Llegada;Inicio atencion;Fin atencion;Estado;Llegada;Inicio atencion;Fin atencion;Estado;Llegada;Inicio atencion;Fin atencion;Estado;Llegada;Inicio atencion;Fin atencion;Estado;Llegada;Inicio atencion;Fin atencion;Estado;Llegada;Inicio atencion;Fin atencion;Estado;Llegada;Inicio atencion;Fin atencion
Apertura de planta;----;1;5hs -1min 0s;----;Libre;----;----;0;Libre;----;----;0;Libre;----;----;----;Libre;----;----;----;0;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----
Apertura de puertas;----;1;12hs 0min 0s;----;Libre;----;----;0;Libre;----;----;0;Libre;----;----;----;Libre;----;----;----;0;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----
Llega camion;1;1;12hs 1min 1s;0hs 12min 22s;Libre;----;0hs 0min 0s;1;Libre;----;0hs 0min 0s;0;Libre;----;0hs 0min 0s;1;Libre;----;0hs 0min 0s;1;0;En cola;0dias12hs 1min 1s;0dias12hs 1min 1s;0dias12hs 1min 1s;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----
Fin atencion Recepcion;1;1;12hs 4min 35s;0hs 0min 0s;Libre;----;..hs ..min ..;0;Libre;----;0hs 0min 0s;1;Libre;----;0hs 0min 0s;1;Libre;----;0hs 0min 0s;1;0;En cola;0dias12hs 1min 1s;0dias12hs 4min 35s;0dias12hs 8min 8s;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----
Fin atencion Balanza;1;1;12hs 9min 59s;0hs 0min 0s;Libre;----;0hs 0min 0s;0;Libre;----;..hs ..min ..s;0;Libre;----;0hs 0min 0s;1;Libre;----;0hs 0min 0s;1;1;En cola;0dias12hs 1min 1s;0dias12hs 4min 35s;0dias12hs 9min 58s;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----
Llega camion;2;1;12hs 13min 24s;0hs 4min 22s;Libre;----;0hs 0min 0s;1;Libre;----;0hs 0min 0s;0;Ocupado;1;0hs 16min 36s;1;Libre;----;0hs 0min 0s;1;0;En servidor;0dias12hs 1min 1s;0dias12hs 9min 59s;0dias12hs 29min 59s;En cola;0dias12hs 13min 24s;0dias12hs 13min 24s;0dias12hs 13min 24s;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----
Llega camion;3;1;12hs 17min 47s;0hs 16min 0s;Ocupado;2;0hs 0min 28s;1;Libre;----;0hs 0min 0s;0;Ocupado;1;0hs 12min 13s;1;Libre;----;0hs 0min 0s;1;0;En servidor;0dias12hs 1min 1s;0dias12hs 9min 59s;0dias12hs 29min 59s;En servidor;0dias12hs 13min 24s;0dias12hs 13min 24s;0dias12hs 18min 14s;En cola;0dias12hs 17min 47s;0dias12hs 17min 47s;0dias12hs 17min 47s;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----
Fin atencion Recepcion;2;1;12hs 18min 15s;0hs 0min 0s;Ocupado;3;0hs 4min 57;0;Libre;----;0hs 0min 0s;0;Ocupado;1;0hs 11min 45s;1;Libre;----;0hs 0min 0s;1;1;En servidor;0dias12hs 1min 1s;0dias12hs 9min 59s;0dias12hs 29min 59s;En cola;0dias12hs 13min 24s;0dias12hs 18min 15s;0dias12hs 23min 5s;En servidor;0dias12hs 17min 47s;0dias12hs 18min 15s;0dias12hs 23min 12s;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----
Fin atencion Recepcion;3;1;12hs 23min 13s;0hs 0min 0s;Libre;----;..hs ..min ..;0;Libre;----;0hs 0min 0s;1;Ocupado;1;0hs 6min 47s;1;Ocupado;2;0hs 11min 47s;1;0;En servidor;0dias12hs 1min 1s;0dias12hs 9min 59s;0dias12hs 29min 59s;En servidor;0dias12hs 13min 24s;0dias12hs 18min 15s;0dias12hs 34min 59s;En cola;0dias12hs 17min 47s;0dias12hs 23min 13s;0dias12hs 28min 10s;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----;----
