;;;;;Recepcion;;;;;Balanza;;;;;Darsena 1;;;;Darsena 2
Evento;Camion;Dia;Reloj;Tiempo prox llegada;Estado;Camion;Prox fin atencion;Cola;Estado;Camion;Prox fin atencion;Cola;Estado;Camion;Prox fin atencion;Estado;Camion;Prox fin atencion;Cola
Llega camion;1;1;5hs 7min 1s;0hs 7min 53s;Libre; - ;0hs 0min 0s;1;Libre; - ;0hs 0min 0s;0;Libre; - ;0hs 0min 0s;Libre; - ;0hs 0min 0s;0
Fin atencion Recepcion;1;1;5hs 13min 59s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;1;Libre; - ;0hs 0min 0s;Libre; - ;0hs 0min 0s;0
Llega camion;2;1;5hs 14min 55s;0hs 7min 18s;Libre; - ;0hs 0min 0s;1;Ocupado;1;0hs 5min 6s;0;Libre; - ;0hs 0min 0s;Libre; - ;0hs 0min 0s;0
Fin atencion Recepcion;2;1;5hs 18min 49s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Ocupado;1;0hs 1min 12s;1;Libre; - ;0hs 0min 0s;Libre; - ;0hs 0min 0s;0
Fin atencion Balanza;1;1;5hs 20min 1s;0hs 0min 0s;Libre; - ;0hs 0min 0s;0;Ocupado;2;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;Libre; - ;0hs 0min 0s;1
Llega camion;3;1;5hs 22min 14s;0hs 7min 23s;Libre; - ;0hs 0min 0s;1;Ocupado;2;0hs 4min 18s;0;Ocupado;1;0hs 13min 46s;Libre; - ;0hs 0min 0s;0
Fin atencion Recepcion;3;1;5hs 25min 46s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Ocupado;2;0hs 0min 46s;1;Ocupado;1;0hs 10min 14s;Libre; - ;0hs 0min 0s;0
Fin atencion Balanza;2;1;5hs 26min 32s;0hs 0min 0s;Libre; - ;0hs 0min 0s;0;Ocupado;3;..hs ..min ..s;0;Ocupado;1;0hs 9min 28s;Libre; - ;0hs 0min 0s;1
Llega camion;4;1;5hs 29min 38s;0hs 7min 55s;Libre; - ;0hs 0min 0s;1;Ocupado;3;0hs 3min 34s;0;Ocupado;1;0hs 6min 22s;Ocupado;2;0hs 15min 0s;0
Fin atencion Balanza;3;1;5hs 33min 12s;0hs 0min 0s;Ocupado;4;0hs 2min 26s;0;Libre; - ;..hs ..min ..s;0;Ocupado;1;0hs 2min 48s;Ocupado;2;0hs 11min 26s;1
Fin atencion Recepcion;4;1;5hs 35min 39s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;1;Ocupado;1;0hs 0min 21s;Ocupado;2;0hs 8min 59s;1
Fin atencion Darsena 1;1;1;5hs 36min 0s;0hs 0min 0s;Libre; - ;0hs 0min 0s;0;Ocupado;4;0hs 6min 5s;0;Ocupado;3;0hs 15min 18s;Ocupado;2;0hs 8min 37s;0
Llega camion;5;1;5hs 37min 34s;0hs 7min 33s;Libre; - ;0hs 0min 0s;1;Ocupado;4;0hs 4min 32s;0;Ocupado;3;0hs 13min 45s;Ocupado;2;0hs 7min 4s;0
Fin atencion Balanza;4;1;5hs 42min 6s;0hs 0min 0s;Ocupado;5;0hs 0min 54s;0;Libre; - ;..hs ..min ..s;0;Ocupado;3;0hs 9min 13s;Ocupado;2;0hs 2min 32s;1
