;;;;;Recepcion;;;;;Balanza;;;;;Darsena 1;;;;Darsena 2
Evento;Camion;Dia;Reloj;Tiempo prox llegada;Estado;Camion;Prox fin atencion;Cola;Estado;Camion;Prox fin atencion;Cola;Estado;Camion;Prox fin atencion;Estado;Camion;Prox fin atencion;Cola
Llega camion;1;1;12hs 8min 1s;0hs 6min 11s;Libre; - ;0hs 0min 0s;1;Libre; - ;0hs 0min 0s;0;Libre; - ;0hs 0min 0s;Libre; - ;0hs 0min 0s;0
Llega camion;2;1;12hs 14min 13s;0hs 24min 5s;Ocupado;1;0hs 0min 33s;1;Libre; - ;0hs 0min 0s;0;Libre; - ;0hs 0min 0s;Libre; - ;0hs 0min 0s;0
Fin atencion Recepcion;1;1;12hs 14min 46s;0hs 0min 0s;Ocupado;2;0hs 6min 29s;0;Libre; - ;0hs 0min 0s;1;Libre; - ;0hs 0min 0s;Libre; - ;0hs 0min 0s;0
Fin atencion Balanza;1;1;12hs 19min 52s;0hs 0min 0s;Ocupado;2;0hs 1min 23s;0;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;Libre; - ;0hs 0min 0s;1
Fin atencion Recepcion;2;1;12hs 21min 16s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;1;Ocupado;1;0hs 14min 33s;Libre; - ;0hs 0min 0s;0
Fin atencion Balanza;2;1;12hs 26min 44s;0hs 0min 0s;Libre; - ;0hs 0min 0s;0;Libre; - ;..hs ..min ..s;0;Ocupado;1;0hs 9min 5s;Libre; - ;0hs 0min 0s;1
Fin atencion Darsena 1;1;1;12hs 35min 49s;0hs 0min 0s;Libre; - ;0hs 0min 0s;0;Libre; - ;0hs 0min 0s;0;Libre; - ;..hs ..min ..s;Ocupado;2;0hs 9min 14s;0
Llega camion;3;1;12hs 38min 19s;0hs 4min 37s;Libre; - ;0hs 0min 0s;1;Libre; - ;0hs 0min 0s;0;Libre; - ;0hs 0min 0s;Ocupado;2;0hs 6min 45s;0
Llega camion;4;1;12hs 42min 57s;0hs 0min 46s;Ocupado;3;0hs 1min 37s;1;Libre; - ;0hs 0min 0s;0;Libre; - ;0hs 0min 0s;Ocupado;2;0hs 2min 7s;0
Llega camion;5;1;12hs 43min 44s;0hs 0min 14s;Ocupado;3;0hs 0min 50s;2;Libre; - ;0hs 0min 0s;0;Libre; - ;0hs 0min 0s;Ocupado;2;0hs 1min 20s;0
Llega camion;6;1;12hs 43min 59s;0hs 3min 36s;Ocupado;3;0hs 0min 35s;3;Libre; - ;0hs 0min 0s;0;Libre; - ;0hs 0min 0s;Ocupado;2;0hs 1min 5s;0
Fin atencion Recepcion;3;1;12hs 44min 34s;0hs 0min 0s;Ocupado;4;0hs 6min 26s;2;Libre; - ;0hs 0min 0s;0;Libre; - ;0hs 0min 0s;Ocupado;2;0hs 0min 30s;1
Fin atencion Darsena 2;2;1;12hs 45min 4s;0hs 0min 0s;Ocupado;4;0hs 5min 56s;2;Libre; - ;0hs 0min 0s;0;Ocupado;3;0hs 14min 43s;Libre; - ;..hs ..min ..s;0
Llega camion;7;1;12hs 47min 36s;0hs 0min 1s;Ocupado;4;0hs 3min 25s;3;Libre; - ;0hs 0min 0s;0;Ocupado;3;0hs 12min 12s;Libre; - ;0hs 0min 0s;0
Llega camion;8;1;12hs 47min 38s;0hs 27min 22s;Ocupado;4;0hs 3min 23s;4;Libre; - ;0hs 0min 0s;0;Ocupado;3;0hs 12min 10s;Libre; - ;0hs 0min 0s;0
Fin atencion Recepcion;4;1;12hs 51min 1s;0hs 0min 0s;Ocupado;5;0hs 5min 23s;3;Libre; - ;0hs 0min 0s;0;Ocupado;3;0hs 8min 47s;Libre; - ;0hs 0min 0s;1
Fin atencion Recepcion;5;1;12hs 56min 25s;0hs 0min 0s;Ocupado;6;0hs 4min 6s;2;Libre; - ;0hs 0min 0s;1;Ocupado;3;0hs 3min 23s;Ocupado;4;0hs 12min 12s;0
Fin atencion Darsena 1;3;1;12hs 59min 48s;0hs 0min 0s;Ocupado;6;0hs 0min 43s;2;Ocupado;5;0hs 1min 47s;0;Libre; - ;..hs ..min ..s;Ocupado;4;0hs 8min 48s;0
Fin atencion Recepcion;6;1;13hs 0min 32s;0hs 0min 0s;Ocupado;7;0hs 4min 16s;1;Ocupado;5;0hs 1min 4s;1;Libre; - ;0hs 0min 0s;Ocupado;4;0hs 8min 5s;0
Fin atencion Balanza;5;1;13hs 1min 36s;0hs 0min 0s;Ocupado;7;0hs 3min 12s;1;Ocupado;6;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;Ocupado;4;0hs 7min 1s;1
Fin atencion Recepcion;7;1;13hs 4min 49s;0hs 0min 0s;Ocupado;8;0hs 3min 42s;0;Ocupado;6;0hs 3min 19s;1;Ocupado;5;0hs 12min 23s;Ocupado;4;0hs 3min 48s;0
Fin atencion Balanza;6;1;13hs 8min 8s;0hs 0min 0s;Ocupado;8;0hs 0min 23s;0;Ocupado;7;..hs ..min ..s;0;Ocupado;5;0hs 9min 4s;Ocupado;4;0hs 0min 29s;1
Fin atencion Recepcion;8;1;13hs 8min 32s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Ocupado;7;0hs 4min 54s;1;Ocupado;5;0hs 8min 40s;Ocupado;4;0hs 0min 5s;1
Fin atencion Darsena 2;4;1;13hs 8min 37s;0hs 0min 0s;Libre; - ;0hs 0min 0s;0;Ocupado;7;0hs 4min 48s;1;Ocupado;5;0hs 8min 34s;Ocupado;6;0hs 8min 34s;0
Fin atencion Balanza;7;1;13hs 13min 26s;0hs 0min 0s;Libre; - ;0hs 0min 0s;0;Ocupado;8;..hs ..min ..s;0;Ocupado;5;0hs 3min 46s;Ocupado;6;0hs 10min 37s;1
Llega camion;9;1;13hs 15min 1s;0hs 6min 16s;Libre; - ;0hs 0min 0s;1;Ocupado;8;0hs 4min 44s;0;Ocupado;5;0hs 2min 11s;Ocupado;6;0hs 9min 2s;1
Fin atencion Darsena 1;5;1;13hs 17min 12s;0hs 0min 0s;Ocupado;9;0hs 3min 16s;0;Ocupado;8;0hs 2min 32s;0;Ocupado;7;0hs 19min 18s;Ocupado;6;0hs 6min 50s;0
Fin atencion Balanza;8;1;13hs 19min 45s;0hs 0min 0s;Ocupado;9;0hs 0min 43s;0;Libre; - ;..hs ..min ..s;0;Ocupado;7;0hs 16min 46s;Ocupado;6;0hs 4min 18s;1
Fin atencion Recepcion;9;1;13hs 20min 29s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;0;Ocupado;7;0hs 16min 2s;Ocupado;6;0hs 3min 34s;2
Llega camion;10;1;13hs 21min 18s;0hs 8min 48s;Libre; - ;0hs 0min 0s;1;Libre; - ;0hs 0min 0s;0;Ocupado;7;0hs 15min 13s;Ocupado;6;0hs 2min 45s;2
Fin atencion Darsena 2;6;1;13hs 24min 3s;0hs 0min 0s;Ocupado;10;0hs 0min 21s;0;Libre; - ;0hs 0min 0s;0;Ocupado;7;0hs 12min 27s;Ocupado;8;0hs 12min 27s;1
Fin atencion Recepcion;10;1;13hs 24min 25s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;1;Ocupado;7;0hs 12min 6s;Ocupado;8;0hs 18min 49s;1
Llega camion;11;1;13hs 30min 7s;0hs 1min 48s;Libre; - ;0hs 0min 0s;1;Ocupado;10;0hs 0min 25s;0;Ocupado;7;0hs 6min 24s;Ocupado;8;0hs 13min 7s;1
Fin atencion Balanza;10;1;13hs 30min 32s;0hs 0min 0s;Ocupado;11;0hs 6min 23s;0;Libre; - ;..hs ..min ..s;0;Ocupado;7;0hs 5min 59s;Ocupado;8;0hs 12min 42s;2
Llega camion;12;1;13hs 31min 56s;0hs 5min 4s;Ocupado;11;0hs 5min 0s;1;Libre; - ;0hs 0min 0s;0;Ocupado;7;0hs 4min 35s;Ocupado;8;0hs 11min 18s;2
Fin atencion Darsena 1;7;1;13hs 36min 31s;0hs 0min 0s;Ocupado;11;0hs 0min 24s;1;Libre; - ;0hs 0min 0s;0;Ocupado;9;0hs 15min 7s;Ocupado;8;0hs 6min 42s;1
Fin atencion Recepcion;11;1;13hs 36min 56s;0hs 0min 0s;Ocupado;12;0hs 3min 8s;0;Libre; - ;0hs 0min 0s;1;Ocupado;9;0hs 14min 43s;Ocupado;8;0hs 6min 18s;1
Llega camion;13;1;13hs 37min 1s;0hs 3min 53s;Ocupado;12;0hs 3min 4s;1;Ocupado;11;0hs 6min 25s;0;Ocupado;9;0hs 14min 38s;Ocupado;8;0hs 6min 13s;1
Fin atencion Recepcion;12;1;13hs 40min 5s;0hs 0min 0s;Ocupado;13;0hs 6min 45s;0;Ocupado;11;0hs 3min 21s;1;Ocupado;9;0hs 11min 34s;Ocupado;8;0hs 3min 9s;1
Llega camion;14;1;13hs 40min 55s;0hs 36min 58s;Ocupado;13;0hs 5min 56s;1;Ocupado;11;0hs 2min 31s;1;Ocupado;9;0hs 10min 44s;Ocupado;8;0hs 2min 19s;1
Fin atencion Darsena 2;8;1;13hs 43min 14s;0hs 0min 0s;Ocupado;13;0hs 3min 36s;1;Ocupado;11;0hs 0min 11s;1;Ocupado;9;0hs 8min 24s;Ocupado;10;0hs 8min 24s;0
Fin atencion Balanza;11;1;13hs 43min 26s;0hs 0min 0s;Ocupado;13;0hs 3min 24s;1;Ocupado;12;..hs ..min ..s;0;Ocupado;9;0hs 8min 13s;Ocupado;10;0hs 17min 6s;1
Fin atencion Recepcion;13;1;13hs 46min 51s;0hs 0min 0s;Ocupado;14;0hs 5min 4s;0;Ocupado;12;0hs 2min 24s;0;Ocupado;9;0hs 4min 48s;Ocupado;10;0hs 13min 41s;2
Fin atencion Balanza;12;1;13hs 49min 15s;0hs 0min 0s;Ocupado;14;0hs 2min 40s;0;Libre; - ;..hs ..min ..s;0;Ocupado;9;0hs 2min 24s;Ocupado;10;0hs 11min 17s;3
Fin atencion Darsena 1;9;1;13hs 51min 39s;0hs 0min 0s;Ocupado;14;0hs 0min 16s;0;Libre; - ;0hs 0min 0s;0;Ocupado;11;0hs 18min 26s;Ocupado;10;0hs 8min 52s;2
Fin atencion Recepcion;14;1;13hs 51min 56s;0hs 0min 0s;Libre; - ;..hs ..min ..s;0;Libre; - ;0hs 0min 0s;0;Ocupado;11;0hs 18min 10s;Ocupado;10;0hs 8min 36s;3
Fin atencion Darsena 2;10;1;14hs 0min 32s;0hs 0min 0s;Libre; - ;0hs 0min 0s;0;Libre; - ;0hs 0min 0s;0;Ocupado;11;0hs 9min 33s;Ocupado;13;0hs 9min 33s;2
Fin atencion Darsena 1;11;1;14hs 10min 6s;0hs 0min 0s;Libre; - ;0hs 0min 0s;0;Libre; - ;0hs 0min 0s;0;Ocupado;12;0hs 16min 45s;Ocupado;13;0hs 9min 41s;1
Llega camion;15;1;14hs 17min 54s;0hs 2min 4s;Libre; - ;0hs 0min 0s;1;Libre; - ;0hs 0min 0s;0;Ocupado;12;0hs 8min 58s;Ocupado;13;0hs 1min 54s;1
Fin atencion Darsena 2;13;1;14hs 19min 48s;0hs 0min 0s;Ocupado;15;0hs 2min 49s;0;Libre; - ;0hs 0min 0s;0;Ocupado;12;0hs 7min 3s;Ocupado;14;0hs 7min 3s;0
Llega camion;16;1;14hs 19min 59s;0hs 3min 25s;Ocupado;15;0hs 2min 39s;1;Libre; - ;0hs 0min 0s;0;Ocupado;12;0hs 6min 53s;Ocupado;14;0hs 19min 36s;0
Fin atencion Recepcion;15;1;14hs 22min 38s;0hs 0min 0s;Ocupado;16;0hs 6min 53s;0;Libre; - ;0hs 0min 0s;0;Ocupado;12;0hs 4min 14s;Ocupado;14;0hs 16min 57s;1
Llega camion;17;1;14hs 23min 25s;0hs 1min 7s;Ocupado;16;0hs 6min 7s;1;Libre; - ;0hs 0min 0s;0;Ocupado;12;0hs 3min 27s;Ocupado;14;0hs 16min 10s;1
Llega camion;18;1;14hs 24min 33s;0hs 14min 41s;Ocupado;16;0hs 4min 59s;2;Libre; - ;0hs 0min 0s;0;Ocupado;12;0hs 2min 19s;Ocupado;14;0hs 15min 2s;1
Fin atencion Darsena 1;12;1;14hs 26min 52s;0hs 0min 0s;Ocupado;16;0hs 2min 39s;2;Libre; - ;0hs 0min 0s;0;Ocupado;15;0hs 16min 52s;Ocupado;14;0hs 12min 42s;0
Fin atencion Recepcion;16;1;14hs 29min 32s;0hs 0min 0s;Ocupado;17;0hs 3min 3s;1;Libre; - ;0hs 0min 0s;1;Ocupado;15;0hs 14min 13s;Ocupado;14;0hs 10min 3s;0
Fin atencion Recepcion;17;1;14hs 32min 36s;0hs 0min 0s;Ocupado;18;0hs 5min 18s;0;Ocupado;16;0hs 3min 28s;1;Ocupado;15;0hs 11min 9s;Ocupado;14;0hs 6min 59s;0
Fin atencion Balanza;16;1;14hs 36min 4s;0hs 0min 0s;Ocupado;18;0hs 1min 50s;0;Ocupado;17;..hs ..min ..s;0;Ocupado;15;0hs 7min 41s;Ocupado;14;0hs 3min 31s;1
